Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
2,10.0,603,0.03577230000519194,"[1, 0, 1, 0]",200,0.5,512
4,10.0,1005,0.062203172012232244,"[1, 0, 1, 0]",200,0.5,512
8,10.0,1809,0.11065569799393415,"[1, 0, 1, 0]",200,0.5,512
16,10.0,3417,0.20171682198997587,"[1, 0, 1, 0]",200,0.5,512
32,10.0,6633,0.383914209989598,"[1, 0, 1, 0]",200,0.5,512
64,10.0,13065,0.7367484990099911,"[1, 0, 1, 0]",200,0.5,512
128,10.0,25929,1.437442340014968,"[1, 0, 1, 0]",200,0.5,512
256,10.0,51657,2.8713217370095663,"[1, 0, 1, 0]",200,0.5,512
512,10.0,100902,5.585298598016379,"[1, 0, 1, 0]",200,0.5,512
0,0.0,200,0.0041615320078562945,"[0, 1, 1, 0]",200,0.6,512
1,10.0,402,0.02088923699920997,"[1, 0, 1, 0]",200,0.6,512
2,10.0,603,0.03758151800138876,"[1, 0, 1, 0]",200,0.6,512
4,10.0,1005,0.06526892900001258,"[1, 0, 1, 0]",200,0.6,512
8,10.0,1809,0.11607481600367464,"[1, 0, 1, 0]",200,0.6,512
16,10.0,3417,0.21173384098801762,"[1, 0, 1, 0]",200,0.6,512
32,10.0,6633,0.3921333559846971,"[1, 0, 1, 0]",200,0.6,512
64,10.0,13065,0.752956248994451,"[1, 0, 1, 0]",200,0.6,512
128,10.0,25929,1.4715663350070827,"[1, 0, 1, 0]",200,0.6,512
256,10.0,51657,2.9007588219828904,"[1, 0, 1, 0]",200,0.6,512
512,10.0,100902,5.640251528995577,"[1, 0, 1, 0]",200,0.6,512
