Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters,fast_mimic
0,7.5,150,0.004372695024358109,"[1, 1, 0, 0]",False,150,0.25,512,True
1,10.0,302,0.012743752013193443,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
2,10.0,453,0.02139705599984154,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
4,10.0,755,0.037872578017413616,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
8,10.0,1359,0.06917429500026628,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
16,10.0,2567,0.13137879001442343,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
32,10.0,4983,0.27169367601163685,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
64,10.0,9815,0.5275176880240906,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
128,10.0,19479,1.0237969450245146,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
256,10.0,38807,2.0120618600049056,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
512,10.0,75802,3.8688887580065057,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
0,7.5,150,0.0030148829973768443,"[1, 1, 0, 0]",False,150,0.5,512,True
1,10.0,302,0.01222536398563534,"[0.0, 0.0, 0.0, 1.0]",False,150,0.5,512,True
2,10.0,453,0.021805911004776135,"[0.0, 0.0, 0.0, 1.0]",False,150,0.5,512,True
4,10.0,755,0.039058813999872655,"[0.0, 0.0, 0.0, 1.0]",False,150,0.5,512,True
8,10.0,1359,0.07253196599776857,"[0.0, 0.0, 0.0, 1.0]",False,150,0.5,512,True
16,10.0,2567,0.13655184299568646,"[0.0, 0.0, 0.0, 1.0]",False,150,0.5,512,True
32,10.0,4983,0.26422673600609414,"[0.0, 0.0, 0.0, 1.0]",False,150,0.5,512,True
64,10.0,9815,0.5224759459961206,"[0.0, 0.0, 0.0, 1.0]",False,150,0.5,512,True
128,10.0,19479,1.0219300239987206,"[0.0, 0.0, 0.0, 1.0]",False,150,0.5,512,True
256,10.0,38807,2.0266750419978052,"[0.0, 0.0, 0.0, 1.0]",False,150,0.5,512,True
512,10.0,75802,3.92876145397895,"[0.0, 0.0, 0.0, 1.0]",False,150,0.5,512,True
0,7.5,150,0.0029680219886358827,"[1, 1, 0, 0]",False,150,0.75,512,True
1,10.0,302,0.012757712975144386,"[0.0, 0.0, 0.0, 1.0]",False,150,0.75,512,True
2,10.0,453,0.023302775982301682,"[0.0, 0.0, 0.0, 1.0]",False,150,0.75,512,True
4,10.0,755,0.04143366697826423,"[0.0, 0.0, 0.0, 1.0]",False,150,0.75,512,True
8,10.0,1359,0.07501813099952415,"[0.0, 0.0, 0.0, 1.0]",False,150,0.75,512,True
16,10.0,2567,0.13983318698592484,"[0.0, 0.0, 0.0, 1.0]",False,150,0.75,512,True
