Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0.0,100,0.0024592670088168234,"[0, 1, 1, 0]",100,0.4,512
1,10.0,202,0.00872321700444445,"[1, 0, 1, 0]",100,0.4,512
2,10.0,303,0.014873106993036345,"[1, 0, 1, 0]",100,0.4,512
4,10.0,505,0.02630076601053588,"[1, 0, 1, 0]",100,0.4,512
8,10.0,909,0.04843485399032943,"[1, 0, 1, 0]",100,0.4,512
16,10.0,1717,0.09188957698643208,"[1, 0, 1, 0]",100,0.4,512
32,10.0,3333,0.17818881300627254,"[1, 0, 1, 0]",100,0.4,512
64,10.0,6565,0.355783141014399,"[1, 0, 1, 0]",100,0.4,512
128,10.0,13029,0.7046755799965467,"[1, 0, 1, 0]",100,0.4,512
256,10.0,25957,1.4046505420119502,"[1, 0, 1, 0]",100,0.4,512
512,10.0,50702,2.7778344149992336,"[1, 0, 1, 0]",100,0.4,512
0,0.0,100,0.0020249570079613477,"[0, 1, 1, 0]",100,0.5,512
1,10.0,202,0.008956679987022653,"[1, 0, 1, 0]",100,0.5,512
2,10.0,303,0.017038071004208177,"[1, 0, 1, 0]",100,0.5,512
4,10.0,505,0.029496725008357316,"[1, 0, 1, 0]",100,0.5,512
8,10.0,909,0.05317428000853397,"[1, 0, 1, 0]",100,0.5,512
16,10.0,1717,0.09878478199243546,"[1, 0, 1, 0]",100,0.5,512
32,10.0,3333,0.18816904100822285,"[1, 0, 1, 0]",100,0.5,512
64,10.0,6565,0.3650899319909513,"[1, 0, 1, 0]",100,0.5,512
128,10.0,13029,0.7193992699903902,"[1, 0, 1, 0]",100,0.5,512
256,10.0,25957,1.4158294569933787,"[1, 0, 1, 0]",100,0.5,512
512,10.0,50702,2.7746405589859933,"[1, 0, 1, 0]",100,0.5,512
0,0.0,100,0.0021242199873086065,"[0, 1, 1, 0]",100,0.6,512
1,10.0,202,0.009785397996893153,"[1, 0, 1, 0]",100,0.6,512
2,10.0,303,0.01771480799652636,"[1, 0, 1, 0]",100,0.6,512
4,10.0,505,0.03103941399604082,"[1, 0, 1, 0]",100,0.6,512
8,10.0,909,0.05617183799040504,"[1, 0, 1, 0]",100,0.6,512
16,10.0,1717,0.10207100000116043,"[1, 0, 1, 0]",100,0.6,512
32,10.0,3333,0.19200067498604767,"[1, 0, 1, 0]",100,0.6,512
64,10.0,6565,0.37024413800099865,"[1, 0, 1, 0]",100,0.6,512
128,10.0,13029,0.7232721249747556,"[1, 0, 1, 0]",100,0.6,512
256,10.0,25957,1.447994892980205,"[1, 0, 1, 0]",100,0.6,512
512,10.0,50702,2.824988674983615,"[1, 0, 1, 0]",100,0.6,512
0,0.0,150,0.0029661490116268396,"[0, 1, 1, 0]",150,0.4,512
1,10.0,302,0.01363231401774101,"[1, 0, 1, 0]",150,0.4,512
2,10.0,453,0.02445381402503699,"[1, 0, 1, 0]",150,0.4,512
4,10.0,755,0.0432839990244247,"[1, 0, 1, 0]",150,0.4,512
8,10.0,1359,0.07769374302006327,"[1, 0, 1, 0]",150,0.4,512
16,10.0,2567,0.1438177720119711,"[1, 0, 1, 0]",150,0.4,512
32,10.0,4983,0.27387692700722255,"[1, 0, 1, 0]",150,0.4,512
64,10.0,9815,0.5335385090147611,"[1, 0, 1, 0]",150,0.4,512
128,10.0,19479,1.047516896011075,"[1, 0, 1, 0]",150,0.4,512
256,10.0,38807,2.0871700750140008,"[1, 0, 1, 0]",150,0.4,512
512,10.0,75802,4.100078198011033,"[1, 0, 1, 0]",150,0.4,512
0,0.0,150,0.0034368019842077047,"[0, 1, 1, 0]",150,0.5,512
1,10.0,302,0.014982188993599266,"[1, 0, 1, 0]",150,0.5,512
2,10.0,453,0.026973269996233284,"[1, 0, 1, 0]",150,0.5,512
4,10.0,755,0.04674341098871082,"[1, 0, 1, 0]",150,0.5,512
8,10.0,1359,0.08272792800562456,"[1, 0, 1, 0]",150,0.5,512
16,10.0,2567,0.151749443000881,"[1, 0, 1, 0]",150,0.5,512
32,10.0,4983,0.2848289239918813,"[1, 0, 1, 0]",150,0.5,512
64,10.0,9815,0.5639713599812239,"[1, 0, 1, 0]",150,0.5,512
128,10.0,19479,1.0882688389974646,"[1, 0, 1, 0]",150,0.5,512
256,10.0,38807,2.1475801570049953,"[1, 0, 1, 0]",150,0.5,512
512,10.0,75802,4.1787641889823135,"[1, 0, 1, 0]",150,0.5,512
0,0.0,150,0.0029191779904067516,"[0, 1, 1, 0]",150,0.6,512
1,10.0,302,0.015747083991300315,"[1, 0, 1, 0]",150,0.6,512
2,10.0,453,0.02782531699631363,"[1, 0, 1, 0]",150,0.6,512
4,10.0,755,0.04901387298014015,"[1, 0, 1, 0]",150,0.6,512
8,10.0,1359,0.08591647300636396,"[1, 0, 1, 0]",150,0.6,512
16,10.0,2567,0.1577858179807663,"[1, 0, 1, 0]",150,0.6,512
32,10.0,4983,0.2945099929929711,"[1, 0, 1, 0]",150,0.6,512
64,10.0,9815,0.5726319539826363,"[1, 0, 1, 0]",150,0.6,512
128,10.0,19479,1.1074843170063104,"[1, 0, 1, 0]",150,0.6,512
256,10.0,38807,2.1753032169945072,"[1, 0, 1, 0]",150,0.6,512
512,10.0,75802,4.299293471005512,"[1, 0, 1, 0]",150,0.6,512
0,0.0,200,0.004050992982229218,"[0, 1, 1, 0]",200,0.4,512
1,10.0,402,0.01984281197655946,"[0, 0, 0, 1]",200,0.4,512
2,10.0,603,0.035739465994993225,"[0, 0, 0, 1]",200,0.4,512
4,10.0,1005,0.062480930995661765,"[0, 0, 0, 1]",200,0.4,512
8,10.0,1809,0.11144196297391318,"[0, 0, 0, 1]",200,0.4,512
16,10.0,3417,0.20145876298192888,"[0, 0, 0, 1]",200,0.4,512
32,10.0,6633,0.37702372900093906,"[0, 0, 0, 1]",200,0.4,512
64,10.0,13065,0.7265203819843009,"[0, 0, 0, 1]",200,0.4,512
128,10.0,25929,1.4232867819955572,"[0, 0, 0, 1]",200,0.4,512
256,10.0,51657,2.826325627975166,"[0, 0, 0, 1]",200,0.4,512
512,10.0,100902,5.506763871992007,"[0, 0, 0, 1]",200,0.4,512
0,0.0,200,0.00420704300631769,"[0, 1, 1, 0]",200,0.5,512
1,10.0,402,0.020744623994687572,"[1, 0, 1, 0]",200,0.5,512
2,10.0,603,0.037556202994892374,"[1, 0, 1, 0]",200,0.5,512
4,10.0,1005,0.06569797298288904,"[1, 0, 1, 0]",200,0.5,512
8,10.0,1809,0.11521374498261139,"[1, 0, 1, 0]",200,0.5,512
16,10.0,3417,0.20842599298339337,"[1, 0, 1, 0]",200,0.5,512
32,10.0,6633,0.3904250579944346,"[1, 0, 1, 0]",200,0.5,512
64,10.0,13065,0.7466806849988643,"[1, 0, 1, 0]",200,0.5,512
128,10.0,25929,1.454522154002916,"[1, 0, 1, 0]",200,0.5,512
256,10.0,51657,2.9104952159977984,"[1, 0, 1, 0]",200,0.5,512
512,10.0,100902,5.63707816999522,"[1, 0, 1, 0]",200,0.5,512
0,0.0,200,0.004002311005024239,"[0, 1, 1, 0]",200,0.6,512
1,10.0,402,0.021228052995866165,"[1, 0, 1, 0]",200,0.6,512
2,10.0,603,0.040564318012911826,"[1, 0, 1, 0]",200,0.6,512
4,10.0,1005,0.06877994301612489,"[1, 0, 1, 0]",200,0.6,512
8,10.0,1809,0.1197285340167582,"[1, 0, 1, 0]",200,0.6,512
16,10.0,3417,0.21764419900137,"[1, 0, 1, 0]",200,0.6,512
32,10.0,6633,0.4031864550197497,"[1, 0, 1, 0]",200,0.6,512
64,10.0,13065,0.7653180969937239,"[1, 0, 1, 0]",200,0.6,512
128,10.0,25929,1.485130843007937,"[1, 0, 1, 0]",200,0.6,512
256,10.0,51657,2.942057823005598,"[1, 0, 1, 0]",200,0.6,512
512,10.0,100902,5.724348752002697,"[1, 0, 1, 0]",200,0.6,512
