Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0.0,0,6.160800694487989e-05,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1]",geometric,1,0.99,0.001,0.9999993808190306,1,512
1,0.0,2,0.0009219000057782978,"[0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1]",geometric,1,0.99,0.001,0.9999907346382423,1,512
2,0.0,4,0.001766072993632406,"[0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1]",geometric,1,0.99,0.001,0.9999822505307959,1,512
4,0.0,8,0.002628091984661296,"[0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1]",geometric,1,0.99,0.001,0.9999735871417259,1,512
8,0.0,16,0.0035369120014365762,"[0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1]",geometric,1,0.99,0.001,0.9999644534782939,1,512
16,2.0,32,0.004563016991596669,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0]",geometric,1,0.99,0.001,0.9999541411982762,1,512
32,3.0,64,0.005887829989660531,"[1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0]",geometric,1,0.99,0.001,0.9999408270819418,1,512
64,4.0,124,0.00801911499002017,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.999919408448776,1,512
128,4.0,239,0.012116862984839827,"[0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9998782288722172,1,512
256,34.0,470,0.022785359004046768,"[1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9997710257080823,1,512
512,46.0,775,0.05641719498089515,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9994331489633178,1,512
0,0.0,0,6.137401214800775e-05,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1]",geometric,10,0.99,0.001,9.999993831707554,10,512
1,0.0,2,0.001691971003310755,"[0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1]",geometric,10,0.99,0.001,9.999829952677445,10,512
2,0.0,4,0.0031090769916772842,"[0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1]",geometric,10,0.99,0.001,9.9996875322023,10,512
4,0.0,8,0.00447634601732716,"[0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1]",geometric,10,0.99,0.001,9.999550122311094,10,512
8,0.0,16,0.005873695015907288,"[0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1]",geometric,10,0.99,0.001,9.999409691347791,10,512
16,2.0,32,0.007383118005236611,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0]",geometric,10,0.99,0.001,9.999257999373622,10,512
32,3.0,64,0.009317023999756202,"[1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0]",geometric,10,0.99,0.001,9.999063651636623,10,512
64,1.0,128,0.011863463994814083,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0]",geometric,10,0.99,0.001,9.998807753102945,10,512
128,4.0,256,0.01658450099057518,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.99833334085389,10,512
256,30.0,503,0.027726928994525224,"[1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.997213738748892,10,512
512,46.0,809,0.061237368994625285,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.993847332290919,10,512
0,0.0,0,5.776601028628647e-05,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1]",geometric,50,0.99,0.001,49.99997097161821,50,512
1,0.0,2,0.002002372988499701,"[0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1]",geometric,50,0.99,0.001,49.99899378407292,50,512
2,0.0,4,0.0038922530075069517,"[0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1]",geometric,50,0.99,0.001,49.99804411575822,50,512
4,0.0,8,0.005845384002896026,"[0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1]",geometric,50,0.99,0.001,49.99706268266062,50,512
8,0.0,16,0.007746180985122919,"[0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1]",geometric,50,0.99,0.001,49.9961075654942,50,512
16,2.0,32,0.009717203996842727,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0]",geometric,50,0.99,0.001,49.99511718024855,50,512
32,3.0,64,0.01200968399643898,"[1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0]",geometric,50,0.99,0.001,49.993965296322855,50,512
64,1.0,128,0.0150449360080529,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0]",geometric,50,0.99,0.001,49.992440238568776,50,512
128,4.0,256,0.021022481989348307,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",geometric,50,0.99,0.001,49.98943696571075,50,512
256,1.0,510,0.03276616899529472,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1]",geometric,50,0.99,0.001,49.98353716069408,50,512
512,33.0,968,0.06678362400270998,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,50,0.99,0.001,49.966451367607405,50,512
0,0.0,0,8.366198744624853e-05,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1]",geometric,100,0.99,0.001,99.99991591692815,100,512
