Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
64,10.0,572,0.15452871299930848,"[1, 0, 1, 0]",10,512,1
128,10.0,636,0.17317066600662656,"[1, 0, 1, 0]",10,512,1
256,10.0,764,0.20644849201198667,"[1, 0, 1, 0]",10,512,1
512,10.0,1013,0.2775419240060728,"[1, 0, 1, 0]",10,512,1
0,0.0,1013,0.2839535130187869,"[1, 1, 1, 1]",10,512,2
1,0.0,1014,0.2900059140229132,"[1, 1, 1, 1]",10,512,2
2,0.0,1015,0.2962359130033292,"[1, 1, 1, 1]",10,512,2
4,0.0,1017,0.3025010170240421,"[1, 1, 1, 1]",10,512,2
8,0.0,1021,0.3096816420147661,"[1, 1, 1, 1]",10,512,2
16,0.0,1029,0.3180641590151936,"[1, 1, 1, 1]",10,512,2
32,0.0,1045,0.3287646370008588,"[1, 1, 1, 1]",10,512,2
64,0.0,1077,0.3442727940273471,"[1, 1, 1, 1]",10,512,2
128,0.0,1141,0.37027287101955153,"[1, 1, 1, 1]",10,512,2
256,0.0,1269,0.4198805760242976,"[1, 1, 1, 1]",10,512,2
512,0.0,1513,0.5194839350006077,"[1, 1, 1, 1]",10,512,2
0,10.0,1513,0.5268793350260239,"[1, 0, 1, 0]",10,512,3
1,10.0,1514,0.5339040260005277,"[1, 0, 1, 0]",10,512,3
2,10.0,1515,0.5409217980050016,"[1, 0, 1, 0]",10,512,3
4,10.0,1517,0.5486873230256606,"[1, 0, 1, 0]",10,512,3
8,10.0,1521,0.5568612440256402,"[1, 0, 1, 0]",10,512,3
16,10.0,1529,0.5672793500125408,"[1, 0, 1, 0]",10,512,3
32,10.0,1545,0.5807839230110403,"[1, 0, 1, 0]",10,512,3
64,10.0,1577,0.600962642027298,"[1, 0, 1, 0]",10,512,3
128,10.0,1641,0.635247407015413,"[1, 0, 1, 0]",10,512,3
256,10.0,1769,0.7025769060128368,"[1, 0, 1, 0]",10,512,3
512,10.0,2013,0.8374192470218986,"[1, 0, 1, 0]",10,512,3
0,0.0,2013,0.8461534260131884,"[1, 1, 1, 0]",10,512,4
1,0.0,2014,0.8542404120089486,"[1, 1, 1, 0]",10,512,4
2,7.5,2016,0.8625871580152307,"[1, 1, 0, 0]",10,512,4
4,7.5,2018,0.8712081810226664,"[1, 1, 0, 0]",10,512,4
8,7.5,2022,0.8815163230174221,"[1, 1, 0, 0]",10,512,4
16,7.5,2030,0.8933723230147734,"[1, 1, 0, 0]",10,512,4
32,7.5,2046,0.9094199770188425,"[1, 1, 0, 0]",10,512,4
64,7.5,2078,0.9344026450125966,"[1, 1, 0, 0]",10,512,4
128,7.5,2142,0.9788470210041851,"[1, 1, 0, 0]",10,512,4
256,7.5,2270,1.0619081090262625,"[1, 1, 0, 0]",10,512,4
512,7.5,2516,1.2332664160057902,"[1, 1, 0, 0]",10,512,4
0,10.0,2516,1.2421675540099386,"[1, 0, 1, 0]",10,512,5
1,10.0,2517,1.2513265420275275,"[1, 0, 1, 0]",10,512,5
2,10.0,2518,1.2603580460126977,"[1, 0, 1, 0]",10,512,5
4,10.0,2520,1.270163595007034,"[1, 0, 1, 0]",10,512,5
8,10.0,2524,1.281941558001563,"[1, 0, 1, 0]",10,512,5
16,10.0,2532,1.2957796080154367,"[1, 0, 1, 0]",10,512,5
32,10.0,2548,1.3152832010237034,"[1, 0, 1, 0]",10,512,5
64,10.0,2580,1.3469882270146627,"[1, 0, 1, 0]",10,512,5
128,10.0,2644,1.40059575001942,"[1, 0, 1, 0]",10,512,5
256,10.0,2772,1.5055901790037751,"[1, 0, 1, 0]",10,512,5
512,10.0,3016,1.7058265240048058,"[1, 0, 1, 0]",10,512,5
0,0.0,3016,1.7152077100181486,"[1, 1, 1, 1]",10,512,6
1,0.0,3017,1.7251421500113793,"[1, 1, 1, 1]",10,512,6
2,0.0,3018,1.7351843240030576,"[1, 1, 1, 1]",10,512,6
4,0.0,3020,1.7462585270113777,"[1, 1, 1, 1]",10,512,6
8,0.0,3024,1.758551945007639,"[1, 1, 1, 1]",10,512,6
16,0.0,3032,1.774555534007959,"[1, 1, 1, 1]",10,512,6
32,0.0,3048,1.7970316790160723,"[1, 1, 1, 1]",10,512,6
64,0.0,3080,1.8318048820074182,"[1, 1, 1, 1]",10,512,6
128,0.0,3144,1.8941789460077416,"[1, 1, 1, 1]",10,512,6
256,0.0,3272,2.010794274014188,"[1, 1, 1, 1]",10,512,6
512,0.0,3516,2.2462366149993613,"[1, 1, 1, 1]",10,512,6
0,0.0,3516,2.256536575005157,"[1, 0, 1, 1]",10,512,7
1,0.0,3517,2.26731475602719,"[1, 0, 1, 1]",10,512,7
2,0.0,3518,2.2787347030243836,"[1, 0, 1, 1]",10,512,7
4,10.0,3521,2.2904300770023838,"[1, 0, 1, 0]",10,512,7
8,10.0,3525,2.303738216025522,"[1, 0, 1, 0]",10,512,7
16,10.0,3533,2.32134999500704,"[1, 0, 1, 0]",10,512,7
32,10.0,3549,2.3472814970009495,"[1, 0, 1, 0]",10,512,7
64,10.0,3581,2.38895167800365,"[1, 0, 1, 0]",10,512,7
128,10.0,3645,2.4605277350055985,"[1, 0, 1, 0]",10,512,7
256,10.0,3773,2.594221601000754,"[1, 0, 1, 0]",10,512,7
