Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters,fast_mimic
0,0.0,150,0.0031942770001478493,"[0, 0, 1, 1]",False,150,0.25,512,True
1,10.0,302,0.01150599296670407,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
2,10.0,453,0.020219600992277265,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
4,10.0,755,0.03652316698571667,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
8,10.0,1359,0.0683675539912656,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
16,10.0,2567,0.13041815196629614,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
32,10.0,4983,0.25639153900556266,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
64,10.0,9815,0.5056298869894817,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
128,10.0,19479,1.0061177120078355,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
256,10.0,38807,1.9949667289620265,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
512,10.0,75802,3.873805506969802,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
0,0.0,150,0.0032621310092508793,"[0, 0, 1, 1]",False,150,0.5,512,True
1,10.0,302,0.01264392799930647,"[1.0, 0.0, 1.0, 0.0]",False,150,0.5,512,True
2,10.0,453,0.022425689036026597,"[1.0, 0.0, 1.0, 0.0]",False,150,0.5,512,True
4,10.0,755,0.04014433198608458,"[1.0, 0.0, 1.0, 0.0]",False,150,0.5,512,True
8,10.0,1359,0.0772247519926168,"[1.0, 0.0, 1.0, 0.0]",False,150,0.5,512,True
16,10.0,2567,0.14042330399388447,"[1.0, 0.0, 1.0, 0.0]",False,150,0.5,512,True
32,10.0,4983,0.26064247702015564,"[1.0, 0.0, 1.0, 0.0]",False,150,0.5,512,True
64,10.0,9815,0.49706627998966724,"[1.0, 0.0, 1.0, 0.0]",False,150,0.5,512,True
128,10.0,19479,0.9691993999877013,"[1.0, 0.0, 1.0, 0.0]",False,150,0.5,512,True
256,10.0,38807,1.9214724500197917,"[1.0, 0.0, 1.0, 0.0]",False,150,0.5,512,True
512,10.0,75802,3.7489889889839105,"[1.0, 0.0, 1.0, 0.0]",False,150,0.5,512,True
0,0.0,150,0.0030426779994741082,"[0, 0, 1, 1]",False,150,0.75,512,True
1,10.0,302,0.012733481999021024,"[1.0, 0.0, 1.0, 0.0]",False,150,0.75,512,True
2,10.0,453,0.022856268973555416,"[1.0, 0.0, 1.0, 0.0]",False,150,0.75,512,True
4,10.0,755,0.04064772801939398,"[1.0, 0.0, 1.0, 0.0]",False,150,0.75,512,True
8,10.0,1359,0.07594882097328082,"[1.0, 0.0, 1.0, 0.0]",False,150,0.75,512,True
16,10.0,2567,0.14240599400363863,"[1.0, 0.0, 1.0, 0.0]",False,150,0.75,512,True
32,10.0,4983,0.2734054430038668,"[1.0, 0.0, 1.0, 0.0]",False,150,0.75,512,True
64,10.0,9815,0.5341547600110061,"[1.0, 0.0, 1.0, 0.0]",False,150,0.75,512,True
128,10.0,19479,1.02785465400666,"[1.0, 0.0, 1.0, 0.0]",False,150,0.75,512,True
256,10.0,38807,2.020551865978632,"[1.0, 0.0, 1.0, 0.0]",False,150,0.75,512,True
512,10.0,75802,3.8652147949906066,"[1.0, 0.0, 1.0, 0.0]",False,150,0.75,512,True
0,0.0,200,0.004437772964593023,"[0, 0, 1, 1]",False,200,0.25,512,True
