Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
64,10.0,572,0.1527791819826234,"[1, 0, 1, 0]",10,512,1
128,10.0,636,0.17025073198601604,"[1, 0, 1, 0]",10,512,1
256,10.0,764,0.2026392580009997,"[1, 0, 1, 0]",10,512,1
512,10.0,1013,0.2729381779790856,"[1, 0, 1, 0]",10,512,1
0,0.0,1013,0.27949910299503244,"[1, 1, 1, 1]",10,512,2
1,0.0,1014,0.28590582800097764,"[1, 1, 1, 1]",10,512,2
2,0.0,1015,0.29227129099308513,"[1, 1, 1, 1]",10,512,2
4,0.0,1017,0.2989747629908379,"[1, 1, 1, 1]",10,512,2
8,0.0,1021,0.306449880998116,"[1, 1, 1, 1]",10,512,2
16,0.0,1029,0.3149267149856314,"[1, 1, 1, 1]",10,512,2
32,0.0,1045,0.3258726869826205,"[1, 1, 1, 1]",10,512,2
64,0.0,1077,0.3417733969981782,"[1, 1, 1, 1]",10,512,2
128,0.0,1141,0.3683111749996897,"[1, 1, 1, 1]",10,512,2
256,0.0,1269,0.41821062099188566,"[1, 1, 1, 1]",10,512,2
512,0.0,1513,0.5183223889907822,"[1, 1, 1, 1]",10,512,2
0,10.0,1513,0.5255541269725654,"[1, 0, 1, 0]",10,512,3
1,10.0,1514,0.5328991139831487,"[1, 0, 1, 0]",10,512,3
2,10.0,1515,0.540141749981558,"[1, 0, 1, 0]",10,512,3
4,10.0,1517,0.5477772019803524,"[1, 0, 1, 0]",10,512,3
8,10.0,1521,0.5565707909991033,"[1, 0, 1, 0]",10,512,3
16,10.0,1529,0.5666763269982766,"[1, 0, 1, 0]",10,512,3
32,10.0,1545,0.5800705539877526,"[1, 0, 1, 0]",10,512,3
64,10.0,1577,0.6008025409828406,"[1, 0, 1, 0]",10,512,3
128,10.0,1641,0.6356214069819544,"[1, 0, 1, 0]",10,512,3
256,10.0,1769,0.7014281319861766,"[1, 0, 1, 0]",10,512,3
512,10.0,2013,0.8370835440000519,"[1, 0, 1, 0]",10,512,3
0,0.0,2013,0.845480650983518,"[1, 1, 1, 0]",10,512,4
1,0.0,2014,0.853787456988357,"[1, 1, 1, 0]",10,512,4
2,7.5,2016,0.862272430997109,"[1, 1, 0, 0]",10,512,4
4,7.5,2018,0.8710913769900799,"[1, 1, 0, 0]",10,512,4
8,7.5,2022,0.8814470219949726,"[1, 1, 0, 0]",10,512,4
16,7.5,2030,0.8945728940016124,"[1, 1, 0, 0]",10,512,4
32,7.5,2046,0.9111647459794767,"[1, 1, 0, 0]",10,512,4
64,7.5,2078,0.9376531669986434,"[1, 1, 0, 0]",10,512,4
128,7.5,2142,0.9824879489897285,"[1, 1, 0, 0]",10,512,4
256,7.5,2270,1.0681505699758418,"[1, 1, 0, 0]",10,512,4
512,7.5,2516,1.231908242974896,"[1, 1, 0, 0]",10,512,4
0,10.0,2516,1.240603050973732,"[1, 0, 1, 0]",10,512,5
1,10.0,2517,1.249231169000268,"[1, 0, 1, 0]",10,512,5
2,10.0,2518,1.2585450319747906,"[1, 0, 1, 0]",10,512,5
4,10.0,2520,1.2685278879944235,"[1, 0, 1, 0]",10,512,5
8,10.0,2524,1.2795639079995453,"[1, 0, 1, 0]",10,512,5
16,10.0,2532,1.2943731579871383,"[1, 0, 1, 0]",10,512,5
32,10.0,2548,1.3141703059955034,"[1, 0, 1, 0]",10,512,5
64,10.0,2580,1.3450149729906116,"[1, 0, 1, 0]",10,512,5
128,10.0,2644,1.3996836209844332,"[1, 0, 1, 0]",10,512,5
256,10.0,2772,1.50289489197894,"[1, 0, 1, 0]",10,512,5
512,10.0,3016,1.7041459869942628,"[1, 0, 1, 0]",10,512,5
0,0.0,3016,1.7139365949842613,"[1, 1, 1, 1]",10,512,6
1,0.0,3017,1.7239633969729766,"[1, 1, 1, 1]",10,512,6
2,0.0,3018,1.73396552898339,"[1, 1, 1, 1]",10,512,6
4,0.0,3020,1.744808365998324,"[1, 1, 1, 1]",10,512,6
8,0.0,3024,1.7574445239733905,"[1, 1, 1, 1]",10,512,6
16,0.0,3032,1.7733593629964162,"[1, 1, 1, 1]",10,512,6
32,0.0,3048,1.7957012209808454,"[1, 1, 1, 1]",10,512,6
64,0.0,3080,1.8312900019809604,"[1, 1, 1, 1]",10,512,6
128,0.0,3144,1.8948109009943437,"[1, 1, 1, 1]",10,512,6
256,0.0,3272,2.015900600992609,"[1, 1, 1, 1]",10,512,6
512,0.0,3516,2.246466711978428,"[1, 1, 1, 1]",10,512,6
0,0.0,3516,2.256662765983492,"[1, 0, 1, 1]",10,512,7
1,0.0,3517,2.2673568099853583,"[1, 0, 1, 1]",10,512,7
2,0.0,3518,2.2776983939984348,"[1, 0, 1, 1]",10,512,7
4,10.0,3521,2.289395820989739,"[1, 0, 1, 0]",10,512,7
8,10.0,3525,2.302751424984308,"[1, 0, 1, 0]",10,512,7
16,10.0,3533,2.319924674986396,"[1, 0, 1, 0]",10,512,7
32,10.0,3549,2.344472244993085,"[1, 0, 1, 0]",10,512,7
64,10.0,3581,2.384469888987951,"[1, 0, 1, 0]",10,512,7
128,10.0,3645,2.455460683995625,"[1, 0, 1, 0]",10,512,7
256,10.0,3773,2.5952187509974465,"[1, 0, 1, 0]",10,512,7
512,10.0,4020,2.870730028982507,"[1, 0, 1, 0]",10,512,7
0,0.0,4020,2.881844111980172,"[1, 0, 0, 1]",10,512,8
