Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0.0,0,8.367898408323526e-05,"[0, 1, 1, 0]",geometric,1,0.99,0.001,0.9999991589984597,1,512
1,5.0,2,0.0009624579979572445,"[0, 1, 0, 0]",geometric,1,0.99,0.001,0.9999903270206592,1,512
2,5.0,3,0.0018011189822573215,"[0, 1, 0, 0]",geometric,1,0.99,0.001,0.9999818983131538,1,512
4,7.5,6,0.0026959670067299157,"[1, 1, 0, 0]",geometric,1,0.99,0.001,0.9999729049932087,1,512
8,7.5,10,0.0037239890079945326,"[1, 1, 0, 0]",geometric,1,0.99,0.001,0.999962573360149,1,512
16,7.5,18,0.0051337709883227944,"[1, 1, 0, 0]",geometric,1,0.99,0.001,0.9999484052084294,1,512
32,7.5,34,0.006769565981812775,"[1, 1, 0, 0]",geometric,1,0.99,0.001,0.9999319659027245,1,512
64,7.5,68,0.009465595008805394,"[1, 1, 0, 0]",geometric,1,0.99,0.001,0.9999048721160524,1,512
128,7.5,132,0.014511099987430498,"[1, 1, 0, 0]",geometric,1,0.99,0.001,0.9998541692058668,1,512
256,7.5,260,0.026661162002710626,"[1, 1, 0, 0]",geometric,1,0.99,0.001,0.9997320822639965,1,512
512,7.5,516,0.06326684399391524,"[1, 1, 0, 0]",geometric,1,0.99,0.001,0.9993643490811682,1,512
0,0.0,0,9.69389802776277e-05,"[0, 1, 1, 0]",geometric,10,0.99,0.001,9.999990257311655,10,512
1,5.0,2,0.0017813679878599942,"[0, 1, 0, 0]",geometric,10,0.99,0.001,9.999820968137072,10,512
2,0.0,4,0.003133692982373759,"[0, 1, 0, 1]",geometric,10,0.99,0.001,9.999685058290172,10,512
4,0.0,8,0.004504043987253681,"[1, 0, 0, 1]",geometric,10,0.99,0.001,9.999547338697713,10,512
8,5.0,15,0.0061211569991428405,"[0, 1, 0, 0]",geometric,10,0.99,0.001,9.999384822086435,10,512
16,0.0,30,0.007809576985891908,"[0, 0, 1, 1]",geometric,10,0.99,0.001,9.99921514208589,10,512
32,10.0,60,0.010035431972937658,"[1, 0, 1, 0]",geometric,10,0.99,0.001,9.998991456243814,10,512
64,0.0,116,0.01316444098483771,"[1, 1, 1, 1]",geometric,10,0.99,0.001,9.99867701698971,10,512
128,2.5,219,0.019213565974496305,"[1, 0, 0, 0]",geometric,10,0.99,0.001,9.998069158521568,10,512
256,10.0,351,0.03221962897805497,"[0, 0, 0, 1]",geometric,10,0.99,0.001,9.99676234331115,10,512
512,10.0,607,0.06928970699664205,"[0, 0, 0, 1]",geometric,10,0.99,0.001,9.993038575931305,10,512
0,0.0,0,8.315697778016329e-05,"[0, 1, 1, 0]",geometric,50,0.99,0.001,49.9999582122397,50,512
